OBJECTID,Shape,ID_PARADERO,ID_PARADA,ID_RUTA,NRO_PARADA,DIRECCION,TIPO_PARADA,RECORRIDO,CODIGO_RUTA,NOMBRE_RUTA,SISTEMA_RUTA,TIPO_RUTA,EMPRESA,X_MAGNAMED,Y_MAGNAMED,LONGITUD,LATITUD
1,"(826678.1049, 1186125.6658)",50233,90332008,90332,8.0,"CL 62B x CR 143A  , Medellin",Reglamentaria,Origen-Destino,C23i,Las Playas-estación San Javier,8A,Integrada,Tax Maya,826678.1049,1186125.6658,-75.64349491,6.277197
2,"(826709.9541000001, 1186398.0038)",50237,90331082,90331,82.0,"CR 143A 62B-281, Medellin",Reglamentaria,Destino-Origen,C23i,La Palma-estación San Javier,8A,Integrada,Tax Maya,826709.9541,1186398.0038,-75.64320752,6.27965911
3,"(826709.9541000001, 1186398.0038)",50237,90334023,90334,23.0,"CR 143A 62B-281, Medellin",Reglamentaria,Destino-Origen,C23i,San Cristóbal-Calle Negra-estación Aurora,8A,Integrada,Tax Maya,826709.9541,1186398.0038,-75.64320752,6.27965911
4,"(826709.9541000001, 1186398.0038)",50237,90328080,90328,80.0,"CR 143A 62B-281, Medellin",Reglamentaria,Destino-Origen,C23i IZQUIERA,San Cristóbal-estación San Javier,8A,Integrada,Tax Maya,826709.9541,1186398.0038,-75.64320752,6.27965911
5,"(826709.9541000001, 1186398.0038)",50237,90355078,90355,78.0,"CR 143A 62B-281, Medellin",Reglamentaria,Destino-Origen,C23i DERECHA,San Cristóbal-estación San Javier,8A,Integrada,Tax Maya,826709.9541,1186398.0038,-75.64320752,6.27965911
6,"(826721.6545000003, 1186400.4912)",50241,90331010,90331,10.0,"CR 143A 62B-280, Medellin",Reglamentaria,Origen-Destino,C23i,La Palma-estación San Javier,8A,Integrada,Tax Maya,826721.6545,1186400.4912,-75.64310182,6.27968161
7,"(826721.6545000003, 1186400.4912)",50241,90328007,90328,7.0,"CR 143A 62B-280, Medellin",Reglamentaria,Origen-Destino,C23i IZQUIERA,San Cristóbal-estación San Javier,8A,Integrada,Tax Maya,826721.6545,1186400.4912,-75.64310182,6.27968161
8,"(826721.6545000003, 1186400.4912)",50241,90334003,90334,3.0,"CR 143A 62B-280, Medellin",Reglamentaria,Origen-Destino,C23i,San Cristóbal-Calle Negra-estación Aurora,8A,Integrada,Tax Maya,826721.6545,1186400.4912,-75.64310182,6.27968161
9,"(826721.6545000003, 1186400.4912)",50241,90355007,90355,7.0,"CR 143A 62B-280, Medellin",Reglamentaria,Origen-Destino,C23i DERECHA,San Cristóbal-estación San Javier,8A,Integrada,Tax Maya,826721.6545,1186400.4912,-75.64310182,6.27968161
10,"(826722.777, 1186502.2448)",50242,90326062,90326,62.0,"CR 143A 62B-369, Medellin",Reglamentaria,Destino-Origen,C23_Alterna,San Cristóbal-La Asomadera-Centro,8A,Directa Centro,Tax Maya,826722.777,1186502.2448,-75.64309181,6.28060152
11,"(826722.777, 1186502.2448)",50242,90327062,90327,62.0,"CR 143A 62B-369, Medellin",Reglamentaria,Destino-Origen,C23,San Cristóbal-San Javier-La Loma-Centro,8A,Directa Centro,Tax Maya,826722.777,1186502.2448,-75.64309181,6.28060152
12,"(826722.777, 1186502.2448)",50242,90084023,90084,23.0,"CR 143A 62B-369, Medellin",Reglamentaria,Destino-Origen,255i,Metrocable Aurora-Cárcel,2A,Integrada,Rápido San Cristóbal,826722.777,1186502.2448,-75.64309181,6.28060152
